Name,Cumulative through,Designer,Series start date,End date,Logic wafers (5th percentile),Logic wafers (median),Logic wafers (95th percentile),Logic cost (USD) (5th percentile),Logic cost (USD) (median),Logic cost (USD) (95th percentile),CoWoS wafers (5th percentile),CoWoS wafers (median),CoWoS wafers (95th percentile),CoWoS cost (USD) (5th percentile),CoWoS cost (USD) (median),CoWoS cost (USD) (95th percentile),HBM cost (USD) (5th percentile),HBM cost (USD) (median),HBM cost (USD) (95th percentile),Auxiliary cost (USD) (5th percentile),Auxiliary cost (USD) (median),Auxiliary cost (USD) (95th percentile)
Amazon cumulative through Q1 2025,Q1 2025,Amazon,2024-01-01,2025-03-31,16063.29896987547,17542.482149894742,19016.615609012504,257012783.51800752,306993437.623158,361315696.57123756,34596.57536620899,38102.3856939324,41815.85113843157,331404666.80774224,456941092.7700554,606685246.5243373,1146540557.0209079,1281505614.78525,1441630620.4463162,323421526.3238755,366737861.36318934,412964325.2468163
Amazon cumulative through Q2 2025,Q2 2025,Amazon,2024-01-01,2025-06-30,22819.150940739422,24432.87665357151,26050.86727023305,365106415.05183077,427575341.43750143,494966478.13442796,45708.65185272804,49339.69493462515,53181.47172237353,441622775.5744691,591797715.0457395,767470289.2284776,1556595450.171833,1718114657.5501418,1918407202.7274222,422441987.4694509,466494356.5179334,513166743.18926966
Amazon cumulative through Q3 2025,Q3 2025,Amazon,2024-01-01,2025-09-30,30611.01518906677,32432.580496339608,34236.72132433785,489776243.0250683,567570158.6859431,650497705.1624192,58514.3231333376,62395.352814838014,66462.66882234377,568849886.2478961,748384218.6238395,954121703.8235611,2031943444.2321253,2225459466.156111,2472097120.4428644,537427893.2770324,582438154.7822735,630563453.656107
Amazon cumulative through Q4 2025,Q4 2025,Amazon,2024-01-01,2025-12-31,39322.53253559725,41689.00165339595,44123.960239648775,629160520.569556,729557528.9344292,838355244.5533267,73012.02468338046,77536.63668078501,82280.62652717058,712209276.5857565,929779813.8180343,1178417641.8891203,2566381893.7873673,2814190506.4370456,3128545076.174059,670197991.3648165,716982767.3456788,768133864.9967749
Amazon cumulative through Q1 2026,Q1 2026,Amazon,2024-01-01,2026-03-31,41227.5509801831,43902.81939315555,46647.29555983709,659640815.6829296,768299339.3802221,886298615.6369047,77701.20409377378,82816.60826976517,88123.93426259208,758226402.0433865,993103120.6296244,1262361982.1744442,2744326074.718957,3020376444.0163493,3365467187.1939144,816055717.8929963,873429716.0737894,932914795.2959893
Other cumulative through Q1 2024,Q1 2024,Other,2024-01-01,2024-03-31,439773.5830508959,439773.5830508959,439773.5830508959,8245754682.204298,8245754682.204298,8245754682.204298,7531.082451771064,7531.082451771064,7531.082451771064,90372989.42125277,90372989.42125277,90372989.42125277,819969866.8844576,819969866.8844576,819969866.8844576,0.0,0.0,0.0
Other cumulative through Q2 2024,Q2 2024,Other,2024-01-01,2024-06-30,972604.8802205739,972604.8802205739,972604.8802205739,18236341504.13576,18236341504.13576,18236341504.13576,19415.0290396867,19415.0290396867,19415.0290396867,232980348.4762404,232980348.4762404,232980348.4762404,2009335328.7401695,2009335328.7401695,2009335328.7401695,0.0,0.0,0.0
Other cumulative through Q3 2024,Q3 2024,Other,2024-01-01,2024-09-30,1552033.6681970363,1552033.6681970363,1552033.6681970363,29100631278.694435,29100631278.694435,29100631278.694435,32766.81626981509,32766.81626981509,32766.81626981509,393201795.2377811,393201795.2377811,393201795.2377811,3584173922.048116,3584173922.048116,3584173922.048116,0.0,0.0,0.0
Other cumulative through Q4 2024,Q4 2024,Other,2024-01-01,2024-12-31,2318299.3039975744,2318299.3039975744,2318299.3039975744,43468111949.95452,43468111949.95452,43468111949.95452,35574.55791285376,35574.55791285376,35574.55791285376,426894694.9542451,426894694.9542451,426894694.9542451,6234477705.3729,6234477705.3729,6234477705.3729,0.0,0.0,0.0
Other cumulative through Q1 2025,Q1 2025,Other,2024-01-01,2025-03-31,2999686.52372575,2999686.52372575,2999686.52372575,56244122319.85781,56244122319.85781,56244122319.85781,37326.978316811605,37326.978316811605,37326.978316811605,447923739.8017393,447923739.8017393,447923739.8017393,7178388277.239868,7178388277.239868,7178388277.239868,0.0,0.0,0.0
Other cumulative through Q2 2025,Q2 2025,Other,2024-01-01,2025-06-30,3841272.6506090746,3841272.6506090746,3841272.6506090746,72023862198.92015,72023862198.92015,72023862198.92015,62248.00980765766,62248.00980765766,62248.00980765766,746976117.6918919,746976117.6918919,746976117.6918919,8755400701.265102,8755400701.265102,8755400701.265102,0.0,0.0,0.0
Other cumulative through Q3 2025,Q3 2025,Other,2024-01-01,2025-09-30,4789130.6384418765,4789130.6384418765,4789130.6384418765,89796199470.78519,89796199470.78519,89796199470.78519,87017.9241690172,87017.9241690172,87017.9241690172,1044215090.0282066,1044215090.0282066,1044215090.0282066,9505922326.205982,9505922326.205982,9505922326.205982,0.0,0.0,0.0
Other cumulative through Q4 2025,Q4 2025,Other,2024-01-01,2025-12-31,5747356.383898657,5747356.383898657,5747356.383898657,107762932198.09982,107762932198.09982,107762932198.09982,118140.25617534123,118140.25617534123,118140.25617534123,1417683074.104095,1417683074.104095,1417683074.104095,9902212198.107601,9902212198.107601,9902212198.107601,0.0,0.0,0.0
